ix_key,V_x,V_y,blockKey,corner_legA_skel,corner_legB_skel,theta_deg,R_authored,R_used,d_A,d_B,vertex_match_dist,vertex_matched,bezier_consumed_span_len,arc_span_present,prevMeta_skip,nextMeta_skip,prevMeta_terminal,nextMeta_terminal,prevMeta_tl,prevMeta_sw,nextMeta_tl,nextMeta_sw,prevMeta_edgeOrd,nextMeta_edgeOrd,cw_plus_tl_sw_A,cw_plus_tl_sw_B,arc_R,cusp_safeMax,cusp_totalMax,cusp_fired,cusp_scale_k,dCorner,ramp_min_fired,pad_area_m2,pad_selfintersects,pad_ring_vertex_count,failure_mode,notes
"-1004.80,-56.20",-1004.80,-56.20,"-1029.0,-114.5",henrietta-street-1,nebraska-avenue,90.11,,3.370,1.52,1.52,0.000,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"-1004.80,-56.20",-1004.80,-56.20,"-1038.5,-14.0",nebraska-avenue,henrietta-street-1,91.11,,3.425,1.52,1.52,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"-1018.30,656.30",-1018.30,656.30,,accomac-street,oregon-avenue,88.63,,4.500,2.90,2.90,157.468,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 157.468m exceeds TOL=0.5
"-1018.30,656.30",-1018.30,656.30,,accomac-street,oregon-avenue,89.18,,4.500,2.90,2.90,157.061,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 157.061m exceeds TOL=0.5
"-1018.30,656.30",-1018.30,656.30,,oregon-avenue,accomac-street,90.90,,4.500,2.90,2.90,150.156,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 150.156m exceeds TOL=0.5
"-1018.30,656.30",-1018.30,656.30,,oregon-avenue,accomac-street,91.29,,4.500,2.90,2.90,164.161,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 164.161m exceeds TOL=0.5
"-1020.20,42.20",-1020.20,42.20,"-1038.5,-14.0",lafayette-avenue-0,nebraska-avenue,89.95,,3.361,7.77,1.52,0.000,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"-1020.20,42.20",-1020.20,42.20,"-1045.5,106.0",nebraska-avenue,lafayette-avenue-0,89.69,,3.347,1.52,5.28,0.001,1,0.000,1,0,0,sidewalk,sidewalk,0.00,1.52,0.00,1.52,2,2,1.905,1.905,3.347,3.012,1.905,0,1.000,1.905,0,7.363,0,34,ok,
"-1020.20,42.20",-1020.20,42.20,"-735.5,130.0",lafayette-avenue-0,nebraska-avenue,90.33,,3.382,5.28,1.52,0.001,1,0.000,0,1,1,none,,0.00,0.00,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"-1020.20,42.20",-1020.20,42.20,"-888.0,-141.5",nebraska-avenue,lafayette-avenue-0,90.03,,3.365,1.52,7.77,0.001,1,0.000,1,1,0,,sidewalk,,,0.00,1.52,,,1.905,1.905,3.365,3.029,1.905,0,1.000,1.905,0,7.390,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
