blockKey,cornerPt_x,cornerPt_z,V_x,V_z,theta_deg,R,R_authored,tl_A,sw_A,tl_B,sw_B,d_A,d_B,diff,ratio,regime,cuspFired,arcLen,rampLen,rampRatio,tlRings,swRings,aspRings,concentric,dropTreeLawn,selfInt,aChain,aSide,bChain,bSide,nArcVerts,nPrevStraightVerts,nNextStraightVerts,fbFound
"118.0,744.0",-503.42,666.02,-511.00,655.60,79.7,2.88,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-WITH-RAMP,0,5.05,2.00,0.40,1,1,0,0,0,0,Ann Avenue,right,,,17,188,3,1
"118.0,744.0",-133.07,797.76,-124.50,793.00,100.1,4.04,no,0.00,1.52,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.63,,,1,1,1,0,0,0,McNair Avenue,left,Ann Avenue,right,17,3,4,1
"118.0,744.0",-118.21,802.97,-124.50,793.00,79.2,2.86,no,0.00,1.52,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.04,,,0,1,1,0,0,0,Ann Avenue,left,McNair Avenue,left,17,4,12,1
"118.0,744.0",-115.92,788.33,-124.50,793.00,100.5,4.06,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.63,,,0,1,1,0,0,0,,,Ann Avenue,left,17,12,0,1
"118.0,744.0",-100.32,690.33,-106.50,679.90,79.4,2.87,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.04,,,0,1,1,0,0,0,Russell Boulevard,right,,,17,0,3,1
"118.0,744.0",112.22,642.90,104.00,634.00,78.9,3.61,no,1.25,1.52,0.00,1.52,3.15,1.91,1.25,0.60,ASYM,0,6.36,,,1,1,1,0,0,0,South 18th Street,left,Russell Boulevard,right,17,3,28,1
"118.0,744.0",131.35,522.89,121.20,526.00,100.9,4.09,no,,,1.25,1.52,3.15,3.15,0.00,1.00,SYM-WITH-RAMP,0,5.65,2.00,0.35,1,1,1,0,0,1,,,South 18th Street,left,17,28,188,1
"-621.0,752.0",-517.42,647.54,-508.50,641.40,87.7,3.25,no,,,,,,,,,NEITHER-EMITTED,0,5.24,,,0,0,0,0,0,0,,,,,17,1,12,0
"-621.0,752.0",-700.70,618.33,-705.10,610.20,89.7,3.35,no,,,,,,,,,NEITHER-EMITTED,0,5.28,,,0,0,0,0,0,0,,,,,17,12,1,0
"-229.0,696.5",-342.56,707.76,-351.80,712.20,100.2,4.03,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.62,,,0,1,1,0,0,1,,,Ann Avenue,left,17,2,1,1
"-229.0,696.5",-326.29,609.91,-333.00,599.30,80.0,2.90,no,,,,,,,,,NEITHER-EMITTED,0,5.05,,,0,0,0,0,0,0,,,,,17,1,0,0
"-229.0,696.5",-115.16,685.04,-106.50,679.90,100.5,4.06,no,,,,,,,,,NEITHER-EMITTED,0,5.63,,,0,0,0,0,0,0,,,,,17,0,0,0
"-229.0,696.5",-130.77,783.16,-124.50,793.00,80.2,2.90,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,14.33,,,0,1,1,0,0,1,Ann Avenue,left,,,34,0,2,1
"-793.0,669.5",-711.88,616.43,-705.10,610.20,90.3,3.38,no,,,,,,,,,NEITHER-EMITTED,0,5.29,,,0,0,0,0,0,0,,,,,17,11,11,0
"-3.0,656.0",-97.84,674.76,-106.50,679.90,100.5,4.06,no,,,,,,,,,NEITHER-EMITTED,0,5.63,,,0,0,0,0,0,0,,,,,17,1,0,0
"-3.0,656.0",-81.86,574.74,-88.40,566.60,79.8,2.89,no,,,,,,,,,NEITHER-EMITTED,0,5.05,,,0,0,0,0,0,0,,,,,17,0,0,0
"-3.0,656.0",92.24,635.73,104.00,634.00,100.2,4.50,no,,,,,,,,,NEITHER-EMITTED,0,6.27,,,0,0,0,0,0,0,,,,,17,0,1,0
"-422.0,627.5",-358.95,701.93,-351.80,712.20,79.9,2.89,no,,,,,,,,,NEITHER-EMITTED,0,5.05,,,0,0,0,0,0,0,,,,,17,1,0,0
"-422.0,627.5",-500.96,651.44,-511.00,655.60,99.6,3.99,no,,,,,,,,,NEITHER-EMITTED,0,5.59,,,0,0,0,0,0,0,,,,,17,0,1,0
"-422.0,627.5",-484.89,553.40,-492.40,542.50,79.6,2.88,no,,,,,,,,,NEITHER-EMITTED,0,5.04,,,0,0,0,0,0,0,,,,,17,1,0,0
"-422.0,627.5",-342.67,604.08,-333.00,599.30,100.0,4.02,no,,,,,,,,,NEITHER-EMITTED,0,5.61,,,0,0,0,0,0,0,,,,,17,0,1,0
"203.0,617.0",114.00,631.79,104.00,634.00,101.1,4.11,no,,,4.39,1.52,3.70,3.70,0.00,1.00,SYM-WITH-RAMP,1,5.65,2.00,0.35,1,1,1,0,0,0,,,South 18th Street,right,17,7,0,1
"203.0,617.0",129.30,535.74,121.20,526.00,79.1,2.86,no,4.39,1.52,,,2.57,2.57,0.00,1.00,SYM-WITH-RAMP,1,5.04,2.00,0.40,1,1,1,0,0,0,South 18th Street,right,,,17,0,7,1
"-210.0,582.5",-307.74,495.50,-315.00,487.10,78.9,3.60,no,,,,,,,,,NEITHER-EMITTED,0,6.36,,,0,0,0,0,0,0,,,,,17,1,0,0
"-210.0,582.5",-96.71,569.54,-88.40,566.60,100.3,4.36,no,,,,,,,,,NEITHER-EMITTED,0,6.07,,,0,0,0,0,0,0,,,,,17,0,0,0
"-210.0,582.5",-112.68,669.48,-106.50,679.90,79.5,3.02,no,,,,,,,,,NEITHER-EMITTED,0,5.30,,,0,0,0,0,0,0,,,,,17,0,0,0
"-210.0,582.5",-323.63,594.41,-333.00,599.30,99.6,4.20,no,,,,,,,,,NEITHER-EMITTED,0,5.88,,,0,0,0,0,0,0,,,,,17,0,1,0
"-599.5,576.5",-554.82,536.40,-556.60,528.30,136.5,4.50,no,0.00,1.52,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,3.43,,,0,1,1,0,0,0,Russell Boulevard,right,Russell Boulevard,right,17,2,2,1
"-599.5,576.5",-501.13,548.08,-492.40,542.50,96.5,3.76,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.48,,,0,1,1,0,0,0,,,Russell Boulevard,right,17,2,0,1
"-599.5,576.5",-514.98,633.18,-508.50,641.40,91.5,3.45,no,,,,,,,,,NEITHER-EMITTED,0,5.33,,,0,0,0,0,0,0,,,,,17,0,1,0
"-599.5,576.5",-698.32,603.97,-705.10,610.20,90.3,3.38,no,,,,,,,,,NEITHER-EMITTED,0,5.29,,,0,0,0,0,0,0,,,,,17,1,0,0
"-599.5,576.5",-684.46,519.84,-688.80,511.30,90.2,3.38,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.29,,,0,1,1,0,0,0,Russell Boulevard,right,,,17,0,2,1
