kind,chainIdx,chainName,side,blockKey,edgeOrd,segOrds,adjacentLu,selfInt,overshootsRing,blockKeyDrifted,hasTerminalSidewalk,tlDepth,swDepth,bandRingCount,zeroBands,customs
straight,99,South 12th Street,left,"118.0,744.0",16,,,0,1,0,1,0.7506041978824456,1.524,2,0,0
straight,99,South 12th Street,right,"118.0,744.0",18,,,0,1,0,1,0,1.524,1,0,0
straight,186,South Jefferson Avenue,right,"118.0,744.0",21,,,0,1,0,1,0,1.524,1,0,0
straight,42,Ann Avenue,right,"118.0,744.0",22,,residential,0,1,0,1,0.00476208821259938,1.524,2,0,0
straight,50,McNair Avenue,left,"118.0,744.0",23,,,0,1,0,1,0,1.524,1,0,0
straight,42,Ann Avenue,left,"118.0,744.0",24,,recreation,0,1,0,1,0,1.524,1,0,0
straight,50,McNair Avenue,left,"118.0,744.0",25,,recreation,0,1,0,1,0,1.524,1,0,0
straight,102,Russell Boulevard,right,"118.0,744.0",26,,recreation,0,1,0,1,0,1.524,1,0,0
straight,1,Mississippi Avenue,left,"118.0,744.0",27,,recreation,0,1,0,1,1.524,1.8288000000000002,2,0,0
straight,51,Allen Avenue,right,"118.0,744.0",28,,recreation,0,1,0,1,0.4016055921006334,1.524,2,0,0
straight,2,South 18th Street,left,"118.0,744.0",29,,recreation,0,1,0,1,1.2456,1.524,2,0,0
straight,127,Geyer Avenue,left,"118.0,744.0",30,,recreation,0,1,0,1,0,1.524,1,0,0
straight,1,Mississippi Avenue,left,"118.0,744.0",31,,recreation,0,1,0,1,1.524,1.8288000000000002,2,0,0
straight,186,South Jefferson Avenue,left,"-620.5,752.0",0,,commercial,0,,1,1,2.002554538036364,5.108928968970948,2,0,0
straight,57,Ohio Avenue,left,"-620.5,752.0",2,,,0,,1,1,0,1.524,1,0,0
straight,43,Ann Avenue,right,"-620.5,752.0",3,,,0,,1,1,0.00476208821259938,1.524,2,0,0
straight,50,McNair Avenue,right,"-229.0,696.5",0,,,0,1,0,1,0.12231091077400436,1.524,2,0,0
straight,42,Ann Avenue,left,"-229.0,696.5",1,,unknown,0,1,0,1,0,1.524,1,0,0
straight,29,Missouri Avenue,left,"-229.0,696.5",2,,,0,1,0,1,3.020838982094821,2.263884048165316,2,0,0
straight,102,Russell Boulevard,right,"-229.0,696.5",3,,,0,1,0,1,0,1.524,1,0,0
straight,57,Ohio Avenue,right,"-793.0,669.5",0,,,0,1,0,1,0,1.524,1,0,0
straight,44,Ann Avenue,right,"-793.0,669.5",2,,,0,1,0,1,0.00476208821259938,1.524,2,0,0
straight,63,California Avenue,left,"-793.0,669.5",3,,,0,1,0,1,0,1.524,1,0,0
straight,44,Ann Avenue,right,"-793.0,669.5",4,,,0,1,0,1,0.00476208821259938,1.524,2,0,0
straight,1,Mississippi Avenue,right,"-3.0,655.5",0,,unknown,0,,1,1,2.9144876422016814,3.219995027327654,2,0,0
straight,102,Russell Boulevard,left,"-3.0,655.5",1,,unknown,0,,1,1,0.07868542325239236,1.524,2,0,0
straight,50,McNair Avenue,left,"-3.0,655.5",2,,unknown,0,,1,1,0,1.524,1,0,0
straight,51,Allen Avenue,right,"-3.0,655.5",3,,unknown,0,,1,1,0.4016055921006334,1.524,2,0,0
